"SITE","TREAT","PLOT","SPP","TREE_COUNT_PLOT","DIV","TREE_EXP_FACT","TREE_COUNT_HA","SEED_COUNT_PLOT","SEED_COUNT_HA","SEED_EXP_FACT","COUNT_HA"
"DALTON","0","10_0","ALCR",0,"d",50,0,0,0,100,0
"DALTON","0","10_0","ARCTO",0,"d",50,0,0,0,100,0
"DALTON","0","10_0","BENE",5,"d",50,250,3,300,100,550
"DALTON","0","10_0","POBA",0,"d",50,0,0,0,100,0
"DALTON","0","10_0","POTR",0,"d",50,0,0,0,100,0
"DALTON","0","10_0","SALIX",1,"d",50,50,27,2700,100,2750
"DALTON","0","10_0","PIGL",0,"c",50,0,0,0,100,0
"DALTON","0","10_0","PIME",112,"c",50,5600,75,7500,100,13100
"DALTON","0","11_0","ALCR",0,"d",50,0,0,0,100,0
"DALTON","0","11_0","ARCTO",0,"d",50,0,0,0,100,0
"DALTON","0","11_0","BENE",1,"d",50,50,0,0,100,50
"DALTON","0","11_0","POBA",0,"d",50,0,0,0,100,0
"DALTON","0","11_0","POTR",0,"d",50,0,0,0,100,0
"DALTON","0","11_0","SALIX",20,"d",50,1000,8,800,100,1800
"DALTON","0","11_0","PIGL",0,"c",50,0,0,0,100,0
"DALTON","0","11_0","PIME",117,"c",50,5850,91,9100,100,14950
"DALTON","0","44_0","ALCR",0,"d",100,0,0,0,100,0
"DALTON","0","44_0","ARCTO",0,"d",100,0,0,0,100,0
"DALTON","0","44_0","BENE",1,"d",100,100,0,0,100,100
"DALTON","0","44_0","POBA",0,"d",100,0,0,0,100,0
"DALTON","0","44_0","POTR",0,"d",100,0,0,0,100,0
"DALTON","0","44_0","SALIX",6,"d",100,600,1,100,100,700
"DALTON","0","44_0","PIGL",0,"c",100,0,0,0,100,0
"DALTON","0","44_0","PIME",115,"c",100,11500,57,5700,100,17200
"DALTON","0","58_0","ALCR",0,"d",50,0,0,0,100,0
"DALTON","0","58_0","ARCTO",0,"d",50,0,0,0,100,0
"DALTON","0","58_0","BENE",4,"d",50,200,0,0,100,200
"DALTON","0","58_0","POBA",0,"d",50,0,0,0,100,0
"DALTON","0","58_0","POTR",0,"d",50,0,0,0,100,0
"DALTON","0","58_0","SALIX",9,"d",50,450,8,800,100,1250
"DALTON","0","58_0","PIGL",0,"c",50,0,0,0,100,0
"DALTON","0","58_0","PIME",70,"c",50,3500,47,4700,100,8200
"DALTON","1","12_1","ALCR",2,"d",500,1000,15,7500,500,8500
"DALTON","1","12_1","ARCTO",0,"d",500,0,0,0,500,0
"DALTON","1","12_1","BENE",21,"d",500,10500,1205,602500,500,613000
"DALTON","1","12_1","POBA",0,"d",500,0,0,0,500,0
"DALTON","1","12_1","POTR",0,"d",500,0,0,0,500,0
"DALTON","1","12_1","SALIX",6,"d",500,3000,1890,945000,500,948000
"DALTON","1","12_1","PIGL",0,"c",500,0,0,0,500,0
"DALTON","1","12_1","PIME",0,"c",500,0,49,24500,500,24500
"DALTON","1","41_1","ALCR",0,"d",50,0,0,0,1000,0
"DALTON","1","41_1","ARCTO",0,"d",50,0,0,0,1000,0
"DALTON","1","41_1","BENE",8,"d",50,400,20,20000,1000,20400
"DALTON","1","41_1","POBA",0,"d",50,0,0,0,1000,0
"DALTON","1","41_1","POTR",0,"d",50,0,0,0,1000,0
"DALTON","1","41_1","SALIX",12,"d",50,600,140,140000,1000,140600
"DALTON","1","41_1","PIGL",0,"c",50,0,0,0,1000,0
"DALTON","1","41_1","PIME",0,"c",50,0,230,230000,1000,230000
"DALTON","1","42_1","ALCR",7,"d",50,350,0,0,1000,350
"DALTON","1","42_1","ARCTO",0,"d",50,0,0,0,1000,0
"DALTON","1","42_1","BENE",9,"d",50,450,3,3000,1000,3450
"DALTON","1","42_1","POBA",0,"d",50,0,0,0,1000,0
"DALTON","1","42_1","POTR",0,"d",50,0,0,0,1000,0
"DALTON","1","42_1","SALIX",0,"d",50,0,28,28000,1000,28000
"DALTON","1","42_1","PIGL",0,"c",50,0,0,0,1000,0
"DALTON","1","42_1","PIME",1,"c",50,50,56,56000,1000,56050
"DALTON","1","48_1","ALCR",0,"d",100,0,0,0,1000,0
"DALTON","1","48_1","ARCTO",0,"d",100,0,0,0,1000,0
"DALTON","1","48_1","BENE",39,"d",100,3900,8,8000,1000,11900
"DALTON","1","48_1","POBA",0,"d",100,0,0,0,1000,0
"DALTON","1","48_1","POTR",1,"d",100,100,2,2000,1000,2100
"DALTON","1","48_1","SALIX",20,"d",100,2000,64,64000,1000,66000
"DALTON","1","48_1","PIGL",0,"c",100,0,0,0,1000,0
"DALTON","1","48_1","PIME",1,"c",100,100,167,167000,1000,167100
"DALTON","1","50_1","ALCR",6,"d",500,3000,16,8000,500,11000
"DALTON","1","50_1","ARCTO",0,"d",500,0,0,0,500,0
"DALTON","1","50_1","BENE",6,"d",500,3000,310,155000,500,158000
"DALTON","1","50_1","POBA",0,"d",500,0,0,0,500,0
"DALTON","1","50_1","POTR",0,"d",500,0,0,0,500,0
"DALTON","1","50_1","SALIX",8,"d",500,4000,558,279000,500,283000
"DALTON","1","50_1","PIGL",0,"c",500,0,0,0,500,0
"DALTON","1","50_1","PIME",0,"c",500,0,129,64500,500,64500
"DALTON","1","52_1","ALCR",17,"d",50,850,4,2000,500,2850
"DALTON","1","52_1","ARCTO",0,"d",50,0,0,0,500,0
"DALTON","1","52_1","BENE",0,"d",50,0,0,0,500,0
"DALTON","1","52_1","POBA",0,"d",50,0,0,0,500,0
"DALTON","1","52_1","POTR",0,"d",50,0,0,0,500,0
"DALTON","1","52_1","SALIX",1,"d",50,50,0,0,500,50
"DALTON","1","52_1","PIGL",0,"c",50,0,0,0,500,0
"DALTON","1","52_1","PIME",0,"c",50,0,33,16500,500,16500
"DALTON","1","64_1","ALCR",39,"d",50,1950,3,3000,1000,4950
"DALTON","1","64_1","ARCTO",0,"d",50,0,0,0,1000,0
"DALTON","1","64_1","BENE",11,"d",50,550,1,1000,1000,1550
"DALTON","1","64_1","POBA",0,"d",50,0,0,0,1000,0
"DALTON","1","64_1","POTR",0,"d",50,0,0,0,1000,0
"DALTON","1","64_1","SALIX",4,"d",50,200,62,62000,1000,62200
"DALTON","1","64_1","PIGL",0,"c",50,0,0,0,1000,0
"DALTON","1","64_1","PIME",1,"c",50,50,194,194000,1000,194050
"DALTON","1","65_1","ALCR",15,"d",50,750,5,5000,1000,5750
"DALTON","1","65_1","ARCTO",0,"d",50,0,0,0,1000,0
"DALTON","1","65_1","BENE",1,"d",50,50,3,3000,1000,3050
"DALTON","1","65_1","POBA",0,"d",50,0,0,0,1000,0
"DALTON","1","65_1","POTR",0,"d",50,0,0,0,1000,0
"DALTON","1","65_1","SALIX",14,"d",50,700,53,53000,1000,53700
"DALTON","1","65_1","PIGL",0,"c",50,0,0,0,1000,0
"DALTON","1","65_1","PIME",1,"c",50,50,152,152000,1000,152050
"DALTON","2","16_2","ALCR",0,"d",50,0,0,0,100,0
"DALTON","2","16_2","ARCTO",0,"d",50,0,0,0,100,0
"DALTON","2","16_2","BENE",69,"d",50,3450,18,1800,100,5250
"DALTON","2","16_2","POBA",0,"d",50,0,0,0,100,0
"DALTON","2","16_2","POTR",10,"d",50,500,6,600,100,1100
"DALTON","2","16_2","SALIX",148,"d",50,7400,292,29200,100,36600
"DALTON","2","16_2","PIGL",0,"c",50,0,0,0,100,0
"DALTON","2","16_2","PIME",0,"c",50,0,64,6400,100,6400
"DALTON","2","32_2","ALCR",0,"d",100,0,0,0,100,0
"DALTON","2","32_2","ARCTO",0,"d",100,0,0,0,100,0
"DALTON","2","32_2","BENE",79,"d",100,7900,0,0,100,7900
"DALTON","2","32_2","POBA",0,"d",100,0,0,0,100,0
"DALTON","2","32_2","POTR",4,"d",100,400,18,1800,100,2200
"DALTON","2","32_2","SALIX",29,"d",100,2900,1,100,100,3000
"DALTON","2","32_2","PIGL",0,"c",100,0,0,0,100,0
"DALTON","2","32_2","PIME",0,"c",100,0,1,100,100,100
"DALTON","2","39_2","ALCR",18,"d",50,900,0,0,1000,900
"DALTON","2","39_2","ARCTO",0,"d",50,0,0,0,1000,0
"DALTON","2","39_2","BENE",60,"d",50,3000,0,0,1000,3000
"DALTON","2","39_2","POBA",0,"d",50,0,0,0,1000,0
"DALTON","2","39_2","POTR",0,"d",50,0,0,0,1000,0
"DALTON","2","39_2","SALIX",15,"d",50,750,3,3000,1000,3750
"DALTON","2","39_2","PIGL",0,"c",50,0,18,18000,1000,18000
"DALTON","2","39_2","PIME",0,"c",50,0,10,10000,1000,10000
"DALTON","2","40_2","ALCR",0,"d",50,0,0,0,100,0
"DALTON","2","40_2","ARCTO",0,"d",50,0,0,0,100,0
"DALTON","2","40_2","BENE",34,"d",50,1700,8,800,100,2500
"DALTON","2","40_2","POBA",0,"d",50,0,0,0,100,0
"DALTON","2","40_2","POTR",3,"d",50,150,4,400,100,550
"DALTON","2","40_2","SALIX",39,"d",50,1950,18,1800,100,3750
"DALTON","2","40_2","PIGL",0,"c",50,0,0,0,100,0
"DALTON","2","40_2","PIME",0,"c",50,0,54,5400,100,5400
"DALTON","2","47_2","ALCR",105,"d",50,5250,290,29000,100,34250
"DALTON","2","47_2","ARCTO",0,"d",50,0,0,0,100,0
"DALTON","2","47_2","BENE",57,"d",50,2850,120,12000,100,14850
"DALTON","2","47_2","POBA",0,"d",50,0,0,0,100,0
"DALTON","2","47_2","POTR",0,"d",50,0,0,0,100,0
"DALTON","2","47_2","SALIX",5,"d",50,250,750,75000,100,75250
"DALTON","2","47_2","PIGL",0,"c",50,0,0,0,100,0
"DALTON","2","47_2","PIME",0,"c",50,0,125,12500,100,12500
"DALTON","2","56_2","ALCR",8,"d",100,800,5,5000,1000,5800
"DALTON","2","56_2","ARCTO",0,"d",100,0,0,0,1000,0
"DALTON","2","56_2","BENE",112,"d",100,11200,77,77000,1000,88200
"DALTON","2","56_2","POBA",0,"d",100,0,0,0,1000,0
"DALTON","2","56_2","POTR",0,"d",100,0,0,0,1000,0
"DALTON","2","56_2","SALIX",19,"d",100,1900,720,720000,1000,721900
"DALTON","2","56_2","PIGL",0,"c",100,0,5,500,100,500
"DALTON","2","56_2","PIME",0,"c",100,0,122,12200,100,12200
"DALTON","2","57_2","ALCR",6,"d",50,300,0,0,100,300
"DALTON","2","57_2","ARCTO",0,"d",50,0,0,0,100,0
"DALTON","2","57_2","BENE",200,"d",50,10000,436,43600,100,53600
"DALTON","2","57_2","POBA",0,"d",50,0,0,0,100,0
"DALTON","2","57_2","POTR",0,"d",50,0,0,0,100,0
"DALTON","2","57_2","SALIX",23,"d",50,1150,90,9000,100,10150
"DALTON","2","57_2","PIGL",0,"c",50,0,0,0,100,0
"DALTON","2","57_2","PIME",0,"c",50,0,28,2800,100,2800
"DALTON","2","8_2","ALCR",41,"d",50,2050,43,4300,100,6350
"DALTON","2","8_2","ARCTO",0,"d",50,0,0,0,100,0
"DALTON","2","8_2","BENE",17,"d",50,850,4,400,100,1250
"DALTON","2","8_2","POBA",0,"d",50,0,0,0,100,0
"DALTON","2","8_2","POTR",0,"d",50,0,0,0,100,0
"DALTON","2","8_2","SALIX",76,"d",50,3800,14,1400,100,5200
"DALTON","2","8_2","PIGL",0,"c",50,0,0,0,100,0
"DALTON","2","8_2","PIME",1,"c",50,50,48,4800,100,4850
"DALTON","3","14_3","ALCR",37,"d",50,1850,7,700,100,2550
"DALTON","3","14_3","ARCTO",0,"d",50,0,0,0,100,0
"DALTON","3","14_3","BENE",29,"d",50,1450,86,8600,100,10050
"DALTON","3","14_3","POBA",0,"d",50,0,0,0,100,0
"DALTON","3","14_3","POTR",0,"d",50,0,0,0,100,0
"DALTON","3","14_3","SALIX",35,"d",50,1750,35,3500,100,5250
"DALTON","3","14_3","PIGL",0,"c",50,0,0,0,100,0
"DALTON","3","14_3","PIME",0,"c",50,0,0,0,100,0
"DALTON","3","15_3","ALCR",0,"d",500,0,0,0,100,0
"DALTON","3","15_3","ARCTO",0,"d",500,0,0,0,100,0
"DALTON","3","15_3","BENE",46,"d",500,23000,2450,245000,100,268000
"DALTON","3","15_3","POBA",0,"d",500,0,0,0,100,0
"DALTON","3","15_3","POTR",0,"d",500,0,0,0,100,0
"DALTON","3","15_3","SALIX",3,"d",500,1500,110,11000,100,12500
"DALTON","3","15_3","PIGL",0,"c",500,0,0,0,100,0
"DALTON","3","15_3","PIME",0,"c",500,0,4,400,100,400
"DALTON","3","37_3","ALCR",32,"d",50,1600,11,1100,100,2700
"DALTON","3","37_3","ARCTO",0,"d",50,0,0,0,100,0
"DALTON","3","37_3","BENE",24,"d",50,1200,29,2900,100,4100
"DALTON","3","37_3","POBA",0,"d",50,0,0,0,100,0
"DALTON","3","37_3","POTR",0,"d",50,0,0,0,100,0
"DALTON","3","37_3","SALIX",97,"d",50,4850,32,3200,100,8050
"DALTON","3","37_3","PIGL",0,"c",50,0,0,0,100,0
"DALTON","3","37_3","PIME",0,"c",50,0,0,0,100,0
"DALTON","3","54_3","ALCR",0,"d",50,0,0,0,100,0
"DALTON","3","54_3","ARCTO",0,"d",50,0,0,0,100,0
"DALTON","3","54_3","BENE",70,"d",50,3500,3,300,100,3800
"DALTON","3","54_3","POBA",0,"d",50,0,0,0,100,0
"DALTON","3","54_3","POTR",2,"d",50,100,0,0,100,100
"DALTON","3","54_3","SALIX",31,"d",50,1550,26,2600,100,4150
"DALTON","3","54_3","PIGL",0,"c",50,0,0,0,100,0
"DALTON","3","54_3","PIME",0,"c",50,0,1,100,100,100
"DALTON","3","55_3","ALCR",13,"d",50,650,0,0,100,650
"DALTON","3","55_3","ARCTO",0,"d",50,0,0,0,100,0
"DALTON","3","55_3","BENE",151,"d",50,7550,111,11100,100,18650
"DALTON","3","55_3","POBA",0,"d",50,0,0,0,100,0
"DALTON","3","55_3","POTR",0,"d",50,0,2,200,100,200
"DALTON","3","55_3","SALIX",69,"d",50,3450,27,2700,100,6150
"DALTON","3","55_3","PIGL",0,"c",50,0,0,0,100,0
"DALTON","3","55_3","PIME",0,"c",50,0,1,100,100,100
"DALTON","3","7_3","ALCR",11,"d",500,5500,10,5000,500,10500
"DALTON","3","7_3","ARCTO",0,"d",500,0,0,0,500,0
"DALTON","3","7_3","BENE",24,"d",500,12000,62,31000,500,43000
"DALTON","3","7_3","POBA",0,"d",500,0,0,0,500,0
"DALTON","3","7_3","POTR",0,"d",500,0,0,0,500,0
