"SITE","TREAT","PLOT","SPP","TREE_COUNT_PLOT","DIV","TREE_EXP_FACT","TREE_COUNT_HA","SEED_COUNT_PLOT","SEED_COUNT_HA","SEED_EXP_FACT","COUNT_HA"
"DALTON","3","7_3","SALIX",16,"d",500,8000,38,19000,500,27000
"DALTON","3","7_3","PIGL",0,"c",500,0,0,0,500,0
"DALTON","3","7_3","PIME",0,"c",500,0,10,5000,500,5000
"STEESE","0","1_0","ALCR",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","1_0","ARCTO",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","1_0","BENE",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","1_0","POBA",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","1_0","POTR",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","1_0","SALIX",1,"d",100,100,0,0,1111.11111111111,100
"STEESE","0","1_0","PIGL",0,"c",100,0,0,0,1111.11111111111,0
"STEESE","0","1_0","PIME",153,"c",100,15300,12,13333.3333333333,1111.11111111111,28633.3333333333
"STEESE","0","31_0","ALCR",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","31_0","ARCTO",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","31_0","BENE",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","31_0","POBA",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","31_0","POTR",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","31_0","SALIX",0,"d",100,0,1,1111.11111111111,1111.11111111111,1111.11111111111
"STEESE","0","31_0","PIGL",0,"c",100,0,0,0,1111.11111111111,0
"STEESE","0","31_0","PIME",54,"c",100,5400,12,13333.3333333333,1111.11111111111,18733.3333333333
"STEESE","0","6_0","ALCR",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","6_0","ARCTO",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","6_0","BENE",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","6_0","POBA",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","6_0","POTR",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","6_0","SALIX",1,"d",100,100,0,0,1111.11111111111,100
"STEESE","0","6_0","PIGL",0,"c",100,0,0,0,1111.11111111111,0
"STEESE","0","6_0","PIME",78,"c",100,7800,23,25555.5555555556,1111.11111111111,33355.5555555556
"STEESE","0","9_0","ALCR",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","9_0","ARCTO",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","9_0","BENE",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","9_0","POBA",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","9_0","POTR",0,"d",100,0,0,0,1111.11111111111,0
"STEESE","0","9_0","SALIX",1,"d",100,100,0,0,1111.11111111111,100
"STEESE","0","9_0","PIGL",0,"c",100,0,0,0,1111.11111111111,0
"STEESE","0","9_0","PIME",104,"c",100,10400,12,13333.3333333333,1111.11111111111,23733.3333333333
"STEESE","1","18_1","ALCR",0,"d",100,0,0,0,1000,0
"STEESE","1","18_1","ARCTO",0,"d",100,0,0,0,1000,0
"STEESE","1","18_1","BENE",27,"d",100,2700,6,6000,1000,8700
"STEESE","1","18_1","POBA",0,"d",100,0,0,0,1000,0
"STEESE","1","18_1","POTR",1,"d",100,100,18,18000,1000,18100
"STEESE","1","18_1","SALIX",2,"d",100,200,50,50000,1000,50200
"STEESE","1","18_1","PIGL",0,"c",100,0,0,0,1000,0
"STEESE","1","18_1","PIME",0,"c",100,0,92,92000,1000,92000
"STEESE","1","20_1","ALCR",0,"d",50,0,0,0,1000,0
"STEESE","1","20_1","ARCTO",0,"d",50,0,0,0,1000,0
"STEESE","1","20_1","BENE",0,"d",50,0,0,0,1000,0
"STEESE","1","20_1","POBA",0,"d",50,0,0,0,1000,0
"STEESE","1","20_1","POTR",0,"d",50,0,0,0,1000,0
"STEESE","1","20_1","SALIX",17,"d",50,850,4,4000,1000,4850
"STEESE","1","20_1","PIGL",0,"c",50,0,0,0,1000,0
"STEESE","1","20_1","PIME",0,"c",50,0,57,57000,1000,57000
"STEESE","1","28_1","ALCR",0,"d",100,0,0,0,1000,0
"STEESE","1","28_1","ARCTO",0,"d",100,0,0,0,1000,0
"STEESE","1","28_1","BENE",8,"d",100,800,22,22000,1000,22800
"STEESE","1","28_1","POBA",0,"d",100,0,0,0,1000,0
"STEESE","1","28_1","POTR",0,"d",100,0,9,9000,1000,9000
"STEESE","1","28_1","SALIX",3,"d",100,300,48,48000,1000,48300
"STEESE","1","28_1","PIGL",0,"c",100,0,0,0,1000,0
"STEESE","1","28_1","PIME",0,"c",100,0,94,94000,1000,94000
"STEESE","1","29_1","ALCR",0,"d",50,0,0,0,1000,0
"STEESE","1","29_1","ARCTO",0,"d",50,0,0,0,1000,0
"STEESE","1","29_1","BENE",51,"d",50,2550,11,11000,1000,13550
"STEESE","1","29_1","POBA",0,"d",50,0,0,0,1000,0
"STEESE","1","29_1","POTR",0,"d",50,0,2,2000,1000,2000
"STEESE","1","29_1","SALIX",11,"d",50,550,77,77000,1000,77550
"STEESE","1","29_1","PIGL",0,"c",50,0,0,0,1000,0
"STEESE","1","29_1","PIME",0,"c",50,0,115,115000,1000,115000
"STEESE","1","33_1","ALCR",5,"d",100,500,0,0,1000,500
"STEESE","1","33_1","ARCTO",0,"d",100,0,0,0,1000,0
"STEESE","1","33_1","BENE",1,"d",100,100,6,6000,1000,6100
"STEESE","1","33_1","POBA",0,"d",100,0,0,0,1000,0
"STEESE","1","33_1","POTR",0,"d",100,0,0,0,1000,0
"STEESE","1","33_1","SALIX",2,"d",100,200,42,42000,1000,42200
"STEESE","1","33_1","PIGL",0,"c",100,0,0,0,1000,0
"STEESE","1","33_1","PIME",5,"c",100,500,186,186000,1000,186500
"STEESE","1","36_1","ALCR",0,"d",50,0,0,0,1000,0
"STEESE","1","36_1","ARCTO",0,"d",50,0,0,0,1000,0
"STEESE","1","36_1","BENE",0,"d",50,0,0,0,1000,0
"STEESE","1","36_1","POBA",0,"d",50,0,0,0,1000,0
"STEESE","1","36_1","POTR",0,"d",50,0,0,0,1000,0
"STEESE","1","36_1","SALIX",24,"d",50,1200,28,28000,1000,29200
"STEESE","1","36_1","PIGL",0,"c",50,0,0,0,1000,0
"STEESE","1","36_1","PIME",2,"c",50,100,45,45000,1000,45100
"STEESE","1","5_1","ALCR",13,"d",50,650,6,6000,1000,6650
"STEESE","1","5_1","ARCTO",6,"d",50,300,0,0,1000,300
"STEESE","1","5_1","BENE",9,"d",50,450,7,7000,1000,7450
"STEESE","1","5_1","POBA",0,"d",50,0,0,0,1000,0
"STEESE","1","5_1","POTR",0,"d",50,0,4,4000,1000,4000
"STEESE","1","5_1","SALIX",0,"d",50,0,125,125000,1000,125000
"STEESE","1","5_1","PIGL",0,"c",50,0,0,0,1000,0
"STEESE","1","5_1","PIME",0,"c",50,0,81,81000,1000,81000
"STEESE","2","19_2","ALCR",0,"d",100,0,0,0,1000,0
"STEESE","2","19_2","ARCTO",0,"d",100,0,0,0,1000,0
"STEESE","2","19_2","BENE",2,"d",100,200,8,8000,1000,8200
"STEESE","2","19_2","POBA",0,"d",100,0,0,0,1000,0
"STEESE","2","19_2","POTR",2,"d",100,200,7,7000,1000,7200
"STEESE","2","19_2","SALIX",23,"d",100,2300,93,93000,1000,95300
"STEESE","2","19_2","PIGL",0,"c",100,0,0,0,1000,0
"STEESE","2","19_2","PIME",0,"c",100,0,94,94000,1000,94000
"STEESE","2","26_2","ALCR",16,"d",50,800,5,5000,1000,5800
"STEESE","2","26_2","ARCTO",1,"d",50,50,7,7000,1000,7050
"STEESE","2","26_2","BENE",37,"d",50,1850,8,8000,1000,9850
"STEESE","2","26_2","POBA",0,"d",50,0,0,0,1000,0
"STEESE","2","26_2","POTR",1,"d",50,50,29,29000,1000,29050
"STEESE","2","26_2","SALIX",10,"d",50,500,240,240000,1000,240500
"STEESE","2","26_2","PIGL",0,"c",50,0,0,0,1000,0
"STEESE","2","26_2","PIME",1,"c",50,50,124,124000,1000,124050
"STEESE","2","27_2","ALCR",0,"d",50,0,0,0,1000,0
"STEESE","2","27_2","ARCTO",0,"d",50,0,0,0,1000,0
"STEESE","2","27_2","BENE",17,"d",50,850,8,8000,1000,8850
"STEESE","2","27_2","POBA",0,"d",50,0,0,0,1000,0
"STEESE","2","27_2","POTR",1,"d",50,50,5,5000,1000,5050
"STEESE","2","27_2","SALIX",4,"d",50,200,128,128000,1000,128200
"STEESE","2","27_2","PIGL",0,"c",50,0,0,0,1000,0
"STEESE","2","27_2","PIME",0,"c",50,0,36,36000,1000,36000
"STEESE","2","3_2","ALCR",0,"d",50,0,0,0,1000,0
"STEESE","2","3_2","ARCTO",10,"d",50,500,10,10000,1000,10500
"STEESE","2","3_2","BENE",13,"d",50,650,15,15000,1000,15650
"STEESE","2","3_2","POBA",0,"d",50,0,0,0,1000,0
"STEESE","2","3_2","POTR",3,"d",50,150,14,14000,1000,14150
"STEESE","2","3_2","SALIX",0,"d",50,0,135,135000,1000,135000
"STEESE","2","3_2","PIGL",0,"c",50,0,0,0,1000,0
"STEESE","2","3_2","PIME",2,"c",50,100,118,118000,1000,118100
"STEESE","2","34_2","ALCR",0,"d",100,0,2,2000,1000,2000
"STEESE","2","34_2","ARCTO",0,"d",100,0,0,0,1000,0
"STEESE","2","34_2","BENE",15,"d",100,1500,9,9000,1000,10500
"STEESE","2","34_2","POBA",0,"d",100,0,0,0,1000,0
"STEESE","2","34_2","POTR",3,"d",100,300,46,46000,1000,46300
"STEESE","2","34_2","SALIX",157,"d",100,15700,186,186000,1000,201700
"STEESE","2","34_2","PIGL",0,"c",100,0,0,0,1000,0
"STEESE","2","34_2","PIME",0,"c",100,0,208,208000,1000,208000
"STEESE","2","4_2","ALCR",0,"d",100,0,0,0,1000,0
"STEESE","2","4_2","ARCTO",0,"d",100,0,0,0,1000,0
"STEESE","2","4_2","BENE",7,"d",100,700,10,10000,1000,10700
"STEESE","2","4_2","POBA",0,"d",100,0,0,0,1000,0
"STEESE","2","4_2","POTR",0,"d",100,0,21,21000,1000,21000
"STEESE","2","4_2","SALIX",0,"d",100,0,144,144000,1000,144000
"STEESE","2","4_2","PIGL",0,"c",100,0,0,0,1000,0
"STEESE","2","4_2","PIME",0,"c",100,0,42,42000,1000,42000
"STEESE","3","17_3","ALCR",0,"d",50,0,3,3000,1000,3000
"STEESE","3","17_3","ARCTO",6,"d",50,300,3,3000,1000,3300
"STEESE","3","17_3","BENE",2,"d",50,100,0,0,1000,100
"STEESE","3","17_3","POBA",0,"d",50,0,0,0,1000,0
"STEESE","3","17_3","POTR",114,"d",50,5700,21,21000,1000,26700
"STEESE","3","17_3","SALIX",123,"d",50,6150,226,226000,1000,232150
"STEESE","3","17_3","PIGL",0,"c",50,0,0,0,1000,0
"STEESE","3","17_3","PIME",2,"c",50,100,3,3000,1000,3100
"STEESE","3","2_3","ALCR",0,"d",50,0,0,0,1000,0
"STEESE","3","2_3","ARCTO",8,"d",50,400,0,0,1000,400
"STEESE","3","2_3","BENE",11,"d",50,550,4,4000,1000,4550
"STEESE","3","2_3","POBA",0,"d",50,0,0,0,1000,0
"STEESE","3","2_3","POTR",81,"d",50,4050,17,17000,1000,21050
"STEESE","3","2_3","SALIX",33,"d",50,1650,14,14000,1000,15650
"STEESE","3","2_3","PIGL",0,"c",50,0,0,0,1000,0
"STEESE","3","2_3","PIME",0,"c",50,0,2,2000,1000,2000
"STEESE","3","22_3","ALCR",0,"d",50,0,0,0,1000,0
"STEESE","3","22_3","ARCTO",10,"d",50,500,0,0,1000,500
"STEESE","3","22_3","BENE",29,"d",50,1450,12,12000,1000,13450
"STEESE","3","22_3","POBA",0,"d",50,0,0,0,1000,0
"STEESE","3","22_3","POTR",65,"d",50,3250,29,29000,1000,32250
"STEESE","3","22_3","SALIX",125,"d",50,6250,102,102000,1000,108250
"STEESE","3","22_3","PIGL",0,"c",50,0,0,0,1000,0
"STEESE","3","22_3","PIME",1,"c",50,50,4,4000,1000,4050
"STEESE","3","23_3","ALCR",0,"d",50,0,0,0,1000,0
"STEESE","3","23_3","ARCTO",1,"d",50,50,0,0,1000,50
"STEESE","3","23_3","BENE",19,"d",50,950,11,11000,1000,11950
"STEESE","3","23_3","POBA",0,"d",50,0,0,0,1000,0
"STEESE","3","23_3","POTR",35,"d",50,1750,10,10000,1000,11750
"STEESE","3","23_3","SALIX",75,"d",50,3750,74,74000,1000,77750
"STEESE","3","23_3","PIGL",0,"c",50,0,0,0,1000,0
"STEESE","3","23_3","PIME",0,"c",50,0,4,4000,1000,4000
"STEESE","3","24_3","ALCR",0,"d",50,0,0,0,1000,0
"STEESE","3","24_3","ARCTO",0,"d",50,0,2,2000,1000,2000
"STEESE","3","24_3","BENE",4,"d",50,200,12,12000,1000,12200
"STEESE","3","24_3","POBA",0,"d",50,0,0,0,1000,0
"STEESE","3","24_3","POTR",100,"d",50,5000,28,28000,1000,33000
"STEESE","3","24_3","SALIX",141,"d",50,7050,19,19000,1000,26050
"STEESE","3","24_3","PIGL",0,"c",50,0,0,0,1000,0
"STEESE","3","24_3","PIME",0,"c",50,0,1,1000,1000,1000
"STEESE","3","25_3","ALCR",0,"d",50,0,1,1000,1000,1000
"STEESE","3","25_3","ARCTO",11,"d",50,550,10,10000,1000,10550
"STEESE","3","25_3","BENE",1,"d",50,50,1,1000,1000,1050
"STEESE","3","25_3","POBA",0,"d",50,0,0,0,1000,0
"STEESE","3","25_3","POTR",44,"d",50,2200,28,28000,1000,30200
"STEESE","3","25_3","SALIX",84,"d",50,4200,109,109000,1000,113200
"STEESE","3","25_3","PIGL",0,"c",50,0,0,0,1000,0
"STEESE","3","25_3","PIME",0,"c",50,0,4,4000,1000,4000
"STEESE","3","35_3","ALCR",2,"d",50,100,0,0,1000,100
"STEESE","3","35_3","ARCTO",60,"d",50,3000,3,3000,1000,6000
"STEESE","3","35_3","BENE",33,"d",50,1650,11,11000,1000,12650
"STEESE","3","35_3","POBA",3,"d",50,150,0,0,1000,150
"STEESE","3","35_3","POTR",9,"d",50,450,0,0,1000,450
"STEESE","3","35_3","SALIX",54,"d",50,2700,15,15000,1000,17700
"STEESE","3","35_3","PIGL",0,"c",50,0,0,0,1000,0
"STEESE","3","35_3","PIME",1,"c",50,50,6,6000,1000,6050
