"SITE","SITECODE","SITENUM","TREAT","SPP","DBH_SUM","CAN_AV","BROWSE_INDEX","UND","CLUMP","STEM_COUNT","QUADRANT","TYPE"
"STEESE","34_2",34,2,"SALIX",2.1,100,0.75,"EQAR","CLUMP",4,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.2,100,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.9,100,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.6,95,1,"CHAN","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,95,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,95,1,"CHAN","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.2,100,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,100,1,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.2,90,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,70,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,50,1,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.9,20,1,"CHAN","CLUMP",2,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,100,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.8,95,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.2,95,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.7,40,1,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,95,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,95,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.8,95,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,100,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,95,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.9,95,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,80,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.6,80,0,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,1,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,95,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",1.1,95,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.7,100,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.2,5,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,95,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,95,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,95,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.7,100,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",1.1,90,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.9,95,1,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,90,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,95,1,"CHAN","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,95,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"BENE",0.3,95,0,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,95,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"BENE",0.3,90,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,40,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.9,98.33333333,0,"GRASS","CLUMP",3,2,"SAPLING"
"STEESE","34_2",34,2,"BENE",0.5,95,0,"VAVI","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.6,95,0,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,100,1,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,100,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,95,1,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,80,0,"LICHEN","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,80,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,95,0,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,95,0,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,90,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"BENE",0.4,90,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",1.8,65,0.67,"EQAR","CLUMP",3,2,"SAPLING"
"STEESE","34_2",34,2,"BENE",0.3,95,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",1.3,98.33333333,0.67,"LITTER","CLUMP",3,2,"SAPLING"
"STEESE","34_2",34,2,"BENE",1,100,1,"CHAN","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,95,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.7,100,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"BENE",0.2,90,1,"VAUL","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,95,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"BENE",0.6,100,0,"VAVI","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.6,90,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"BENE",1.2,100,1,"VAVI","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"POTR",0.1,100,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"BENE",0.8,100,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,95,1,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",1.8,98.33333333,3,"MOSS","CLUMP",3,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.6,95,1,"VAUL","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.8,90,0,"MOSS","CLUMP",2,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,100,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",1.2,100,1,"EQAR","CLUMP",2,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",2.2,88.33333333,0.67,"MOSS","CLUMP",3,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",2.7,80,0.5,"MOSS","CLUMP",4,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",1.6,97.5,0.25,"LITTER","CLUMP",4,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",1.4,95,1,"MOSS","CLUMP",2,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,95,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,100,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",1.4,62.5,1,"LITTER","CLUMP",2,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,95,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",2.1,80,1,"MOSS","CLUMP",3,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",1.8,78.33333333,0.67,"LITTER","CLUMP",3,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.9,90,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,30,1,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,100,1,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"BENE",0.4,100,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"BENE",0.6,95,1,"LEGR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"BENE",0.3,70,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"POTR",0.1,100,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.8,95,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.1,95,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.6,80,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.2,100,0,"GRASS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,0,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,100,0,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.7,100,0,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"POTR",0.9,80,0,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,100,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.7,100,0,"LITTER","CLUMP",2,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,95,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,95,1,"CHAN","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,1,"LEGR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,0,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.7,100,1,"LEDE","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,90,1,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,0,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.2,100,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.1,100,0,"GRASS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,100,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,95,1,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,95,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,50,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,45,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",1.1,100,0,"LITTER","CLUMP",2,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.7,85,1,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.7,95,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",1.2,66.66666667,0.33,"EQAR","CLUMP",3,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,0,"GRASS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",2,70,1,"MOSS","CLUMP",3,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,95,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,100,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,20,1,"CHAN","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",1.2,85,1,"VAUL","CLUMP",2,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.2,100,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"BENE",5,95,1,"LEGR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"BENE",0.2,100,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.7,100,1,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.2,100,0,"MOSS","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",1.9,70,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",1.5,80,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",1,100,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",4.2,62,0,"CHAN","CLUMP",5,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",0.5,95,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",1,60,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"BENE",1.4,92.5,0,"EQAR","CLUMP",2,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.9,60,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",1,50,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.4,50,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",1,70,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.2,70,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",1,40,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.7,80,0,"MOSS","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",2.3,90,0,"EQAR","CLUMP",4,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",0.9,90,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.4,95,0,"LICHEN","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",0.5,95,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.2,100,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",0.2,100,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",1.5,80,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.2,90,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",1.9,80,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",1,95,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.5,50,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",0.4,90,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",1.3,40,0,"EQSC","CLUMP",2,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",1.6,75,0.5,"CHAN","CLUMP",2,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.8,90,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.2,95,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",2.4,80,0,"CHAN","CLUMP",2,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",1.9,80,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",1.4,50,0,"CHAN","CLUMP",3,2,"SAPLING"
"STEESE","22_3",22,3,"ARCT",0.4,100,0,"CHAN","CLUMP",2,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",1.3,40,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",1,40,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.5,40,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",0.3,70,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"ARCT",0.4,95,0,"VAVI","CLUMP",3,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",2.5,80,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"BENE",0.2,100,0,"VAVI","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",1.4,95,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"BENE",0.7,95,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",1,95,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",2.6,95,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",1,95,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",1.8,60,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",0.6,95,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",0.1,50,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"BENE",0.2,100,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",2,80,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"BENE",2.6,90,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",2.6,85,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.6,85,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"BENE",0.3,95,0,"VAVI","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.2,40,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"BENE",0.3,100,0,"VAVI","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.8,40,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"BENE",0.8,100,0,"VAVI","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.8,50,0,"CHAN","CLUMP",2,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",0.7,60,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",0.6,60,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",0.1,95,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.4,60,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",1.9,60,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",1.3,80,0,"GRASS","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",1.1,90,0,"GRASS","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.8,40,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"PIME",0.9,100,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",1,68.33333333,0,"EQAR","CLUMP",3,2,"SAPLING"
"STEESE","22_3",22,3,"BENE",0.3,75,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"SALIX",0.2,60,0,"CHAN","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"BENE",0.7,97.5,0,"VAVI","CLUMP",2,2,"SAPLING"
"STEESE","22_3",22,3,"BENE",0.3,80,0,"VAVI","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",0.5,40,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"BENE",0.8,95,0,"VAUL","CLUMP",2,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",0.3,95,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"BENE",1,100,0,"VAUL","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"BENE",0.4,100,0,"VAUL","IND",1,2,"SAPLING"
"STEESE","22_3",22,3,"BENE",2.1,97.5,0,"VAVI","CLUMP",2,2,"SAPLING"
"STEESE","22_3",22,3,"POTR",2.5,95,0,"CHAN","IND",1,2,"SAPLING"
