SITE,SITECODE,FIRES,LAT,LONG
DALTON,32_2,2,65.6884,-149.1244
DALTON,39_2,2,65.70004,-149.11685
DALTON,56_2,2,65.69936,-149.1514
DALTON,57_2,2,65.69627,-149.15442
DALTON,47_2,2,65.69946,-149.15793
DALTON,37_3,3,65.68577,-149.19524
DALTON,15_3,3,65.6936,-149.19728
DALTON,55_3,3,65.69235,-149.19681
DALTON,54_3,3,65.69318,-149.19493
DALTON,14_3,3,65.68749,-149.19668
DALTON,7_3,3,65.68674,-149.19289
DALTON,12_1,1,65.7068,-149.18559
DALTON,64_1,1,65.70761,-149.19055
DALTON,65_1,1,65.70811,-149.19125
DALTON,52_1,1,65.69073,-149.1245
DALTON,11_0,0,65.71918,-149.22691
DALTON,58_0,0,65.71309,-149.2278
DALTON,10_0,0,65.71578,-149.22574
DALTON,41_1,1,65.70615,-149.22386
DALTON,48_1,1,65.70551,-149.22821
DALTON,44_0,0,65.71369,-149.23332
DALTON,16_2,2,65.70504,-149.15279
DALTON,8_2,2,65.70418,-149.14612
DALTON,40_2,2,65.69016,-149.12027
DALTON,42_1,1,65.69112,-149.11751
DALTON,50_1,1,65.70692,-149.18695
STEESE,34_2,2,65.58088,-145.03844
STEESE,22_3,3,65.59493,-145.01591
STEESE,17_3,3,65.59335,-145.00465
STEESE,25_3,3,65.59358,-144.99825
STEESE,35_3,3,65.59224,-144.99461
STEESE,24_3,3,65.58874,-144.99597
STEESE,26_2,2,65.58922,-144.95374
STEESE,33_1,1,65.58279,-144.99422
STEESE,29_1,1,65.58229,-145.0013
STEESE,23_3,3,65.59009,-145.00854
STEESE,36_1,1,65.56454,-144.92126
STEESE,20_1,1,65.5648,-144.92697
STEESE,27_2,2,65.58768,-144.97264
STEESE,4_2,2,65.58785,-144.97032
STEESE,3_2,2,65.58942,-144.9704
STEESE,19_2,2,65.58894,-144.97484
STEESE,28_1,1,65.58453,-144.97688
STEESE,18_1,1,65.58321,-145.00757
STEESE,5_1,1,65.5869,-144.98392
STEESE,2_3,3,65.5891,-145.00218
STEESE,1_0,0,65.5631,-145.02356
STEESE,31_0,0,65.5649,-144.96962
STEESE,9_0,0,65.56702,-144.9287
STEESE,6_0,0,65.56738,-144.92766