"SITE","TREAT","PLOT","DIV","SPP","COUNT","COUNT_HA"
"DALTON",0,"10_0","c","PIGL",0,0
"DALTON",0,"10_0","c","PIME",262,13100
"DALTON",0,"10_0","d","ALCR",0,0
"DALTON",0,"10_0","d","ARCTO",0,0
"DALTON",0,"10_0","d","BENE",11,550
"DALTON",0,"10_0","d","POBA",0,0
"DALTON",0,"10_0","d","POTR",0,0
"DALTON",0,"10_0","d","SALIX",55,2750
"DALTON",0,"11_0","c","PIGL",0,0
"DALTON",0,"11_0","c","PIME",299,14950
"DALTON",0,"11_0","d","ALCR",0,0
"DALTON",0,"11_0","d","ARCTO",0,0
"DALTON",0,"11_0","d","BENE",1,50
"DALTON",0,"11_0","d","POBA",0,0
"DALTON",0,"11_0","d","POTR",0,0
"DALTON",0,"11_0","d","SALIX",36,1800
"DALTON",0,"44_0","c","PIGL",0,0
"DALTON",0,"44_0","c","PIME",344,17200
"DALTON",0,"44_0","d","ALCR",0,0
"DALTON",0,"44_0","d","ARCTO",0,0
"DALTON",0,"44_0","d","BENE",2,100
"DALTON",0,"44_0","d","POBA",0,0
"DALTON",0,"44_0","d","POTR",0,0
"DALTON",0,"44_0","d","SALIX",14,700
"DALTON",0,"58_0","c","PIGL",0,0
"DALTON",0,"58_0","c","PIME",164,8200
"DALTON",0,"58_0","d","ALCR",0,0
"DALTON",0,"58_0","d","ARCTO",0,0
"DALTON",0,"58_0","d","BENE",4,200
"DALTON",0,"58_0","d","POBA",0,0
"DALTON",0,"58_0","d","POTR",0,0
"DALTON",0,"58_0","d","SALIX",25,1250
"DALTON",1,"12_1","c","PIGL",0,0
"DALTON",1,"12_1","c","PIME",490,24500
"DALTON",1,"12_1","d","ALCR",70,3500
"DALTON",1,"12_1","d","ARCTO",0,0
"DALTON",1,"12_1","d","BENE",2830,141500
"DALTON",1,"12_1","d","POBA",0,0
"DALTON",1,"12_1","d","POTR",0,0
"DALTON",1,"12_1","d","SALIX",3900,195000
"DALTON",1,"28_1","d","BENE",16,800
"DALTON",1,"28_1","d","SALIX",6,300
"DALTON",1,"41_1","c","PIGL",0,0
"DALTON",1,"41_1","c","PIME",4600,230000
"DALTON",1,"41_1","d","ALCR",0,0
"DALTON",1,"41_1","d","ARCTO",0,0
"DALTON",1,"41_1","d","BENE",48,2400
"DALTON",1,"41_1","d","POBA",0,0
"DALTON",1,"41_1","d","POTR",0,0
"DALTON",1,"41_1","d","SALIX",292,14600
"DALTON",1,"42_1","c","PIGL",0,0
"DALTON",1,"42_1","c","PIME",1121,56050
"DALTON",1,"42_1","d","ALCR",7,350
"DALTON",1,"42_1","d","ARCTO",0,0
"DALTON",1,"42_1","d","BENE",69,3450
"DALTON",1,"42_1","d","POBA",0,0
"DALTON",1,"42_1","d","POTR",0,0
"DALTON",1,"42_1","d","SALIX",560,28000
"DALTON",1,"48_1","c","PIGL",0,0
"DALTON",1,"48_1","c","PIME",3561,178050
"DALTON",1,"48_1","d","ALCR",0,0
"DALTON",1,"48_1","d","ARCTO",0,0
"DALTON",1,"48_1","d","BENE",199,9950
"DALTON",1,"48_1","d","POBA",0,0
"DALTON",1,"48_1","d","POTR",41,2050
"DALTON",1,"48_1","d","SALIX",1300,65000
"DALTON",1,"5_1","d","ALCR",13,650
"DALTON",1,"5_1","d","ARCTO",7,350
"DALTON",1,"5_1","d","BENE",9,450
"DALTON",1,"50_1","c","PIGL",0,0
"DALTON",1,"50_1","c","PIME",1290,64500
"DALTON",1,"50_1","d","ALCR",280,14000
"DALTON",1,"50_1","d","ARCTO",0,0
"DALTON",1,"50_1","d","BENE",3220,161000
"DALTON",1,"50_1","d","POBA",0,0
"DALTON",1,"50_1","d","POTR",0,0
"DALTON",1,"50_1","d","SALIX",5740,287000
"DALTON",1,"52_1","c","PIGL",0,0
"DALTON",1,"52_1","c","PIME",330,16500
"DALTON",1,"52_1","d","ALCR",57,2850
"DALTON",1,"52_1","d","ARCTO",0,0
"DALTON",1,"52_1","d","BENE",0,0
"DALTON",1,"52_1","d","POBA",0,0
"DALTON",1,"52_1","d","POTR",0,0
"DALTON",1,"52_1","d","SALIX",1,50
"DALTON",1,"64_1","c","PIGL",0,0
"DALTON",1,"64_1","c","PIME",21,1050
"DALTON",1,"64_1","d","ALCR",279,13950
"DALTON",1,"64_1","d","ARCTO",0,0
"DALTON",1,"64_1","d","BENE",191,9550
"DALTON",1,"64_1","d","POBA",0,0
"DALTON",1,"64_1","d","POTR",0,0
"DALTON",1,"64_1","d","SALIX",84,4200
"DALTON",1,"65_1","c","PIGL",0,0
"DALTON",1,"65_1","c","PIME",3241,162050
"DALTON",1,"65_1","d","ALCR",115,5750
"DALTON",1,"65_1","d","ARCTO",0,0
"DALTON",1,"65_1","d","BENE",61,3050
"DALTON",1,"65_1","d","POBA",0,0
"DALTON",1,"65_1","d","POTR",0,0
"DALTON",1,"65_1","d","SALIX",1074,53700
"DALTON",2,"16_2","c","PIGL",0,0
"DALTON",2,"16_2","c","PIME",640,32000
"DALTON",2,"16_2","d","ALCR",90,4500
"DALTON",2,"16_2","d","ARCTO",0,0
"DALTON",2,"16_2","d","BENE",249,12450
"DALTON",2,"16_2","d","POBA",0,0
"DALTON",2,"16_2","d","POTR",70,3500
"DALTON",2,"16_2","d","SALIX",3068,153400
"DALTON",2,"32_2","c","PIGL",0,0
"DALTON",2,"32_2","c","PIME",2,100
"DALTON",2,"32_2","d","ALCR",0,0
"DALTON",2,"32_2","d","ARCTO",0,0
"DALTON",2,"32_2","d","BENE",79,3950
"DALTON",2,"32_2","d","POBA",0,0
"DALTON",2,"32_2","d","POTR",40,2000
"DALTON",2,"32_2","d","SALIX",31,1550
"DALTON",2,"39_2","c","PIGL",36,1800
"DALTON",2,"39_2","c","PIME",20,1000
"DALTON",2,"39_2","d","ALCR",18,900
"DALTON",2,"39_2","d","ARCTO",0,0
"DALTON",2,"39_2","d","BENE",60,3000
"DALTON",2,"39_2","d","POBA",0,0
"DALTON",2,"39_2","d","POTR",0,0
"DALTON",2,"39_2","d","SALIX",21,1050
"DALTON",2,"40_2","c","PIGL",0,0
"DALTON",2,"40_2","c","PIME",108,5400
"DALTON",2,"40_2","d","ALCR",0,0
"DALTON",2,"40_2","d","ARCTO",0,0
"DALTON",2,"40_2","d","BENE",50,2500
"DALTON",2,"40_2","d","POBA",0,0
"DALTON",2,"40_2","d","POTR",11,550
"DALTON",2,"40_2","d","SALIX",75,3750
"DALTON",2,"47_2","c","PIGL",0,0
"DALTON",2,"47_2","c","PIME",2740,137000
"DALTON",2,"47_2","d","ALCR",685,34250
"DALTON",2,"47_2","d","ARCTO",0,0
"DALTON",2,"47_2","d","BENE",297,14850
"DALTON",2,"47_2","d","POBA",0,0
"DALTON",2,"47_2","d","POTR",0,0
"DALTON",2,"47_2","d","SALIX",1505,75250
"DALTON",2,"56_2","c","PIGL",10,500
"DALTON",2,"56_2","c","PIME",258,12900
"DALTON",2,"56_2","d","ALCR",18,900
"DALTON",2,"56_2","d","ARCTO",0,0
"DALTON",2,"56_2","d","BENE",266,13300
"DALTON",2,"56_2","d","POBA",0,0
"DALTON",2,"56_2","d","POTR",0,0
"DALTON",2,"56_2","d","SALIX",1459,72950
"DALTON",2,"57_2","c","PIGL",0,0
"DALTON",2,"57_2","c","PIME",56,2800
"DALTON",2,"57_2","d","ALCR",6,300
"DALTON",2,"57_2","d","ARCTO",0,0
"DALTON",2,"57_2","d","BENE",1072,53600
"DALTON",2,"57_2","d","POBA",0,0
"DALTON",2,"57_2","d","POTR",0,0
"DALTON",2,"57_2","d","SALIX",1703,85150
"DALTON",2,"8_2","c","PIGL",0,0
"DALTON",2,"8_2","c","PIME",97,4850
"DALTON",2,"8_2","d","ALCR",127,6350
"DALTON",2,"8_2","d","ARCTO",0,0
"DALTON",2,"8_2","d","BENE",25,1250
"DALTON",2,"8_2","d","POBA",0,0
"DALTON",2,"8_2","d","POTR",0,0
"DALTON",2,"8_2","d","SALIX",104,5200
"DALTON",3,"14_3","c","PIGL",0,0
"DALTON",3,"14_3","c","PIME",0,0
"DALTON",3,"14_3","d","ALCR",51,2550
"DALTON",3,"14_3","d","ARCTO",0,0
"DALTON",3,"14_3","d","BENE",201,10050
"DALTON",3,"14_3","d","POBA",0,0
"DALTON",3,"14_3","d","POTR",0,0
"DALTON",3,"14_3","d","SALIX",105,5250
"DALTON",3,"15_3","c","PIGL",0,0
"DALTON",3,"15_3","c","PIME",80,4000
"DALTON",3,"15_3","d","ALCR",0,0
"DALTON",3,"15_3","d","ARCTO",0,0
"DALTON",3,"15_3","d","BENE",5360,268000
"DALTON",3,"15_3","d","POBA",0,0
"DALTON",3,"15_3","d","POTR",0,0
"DALTON",3,"15_3","d","SALIX",250,12500
"DALTON",3,"37_3","c","PIGL",0,0
"DALTON",3,"37_3","c","PIME",0,0
"DALTON",3,"37_3","d","ALCR",54,2700
"DALTON",3,"37_3","d","ARCTO",0,0
"DALTON",3,"37_3","d","BENE",82,4100
"DALTON",3,"37_3","d","POBA",0,0
"DALTON",3,"37_3","d","POTR",0,0
"DALTON",3,"37_3","d","SALIX",161,8050
"DALTON",3,"54_3","c","PIGL",0,0
"DALTON",3,"54_3","c","PIME",2,100
"DALTON",3,"54_3","d","ALCR",0,0
"DALTON",3,"54_3","d","ARCTO",0,0
"DALTON",3,"54_3","d","BENE",76,3800
"DALTON",3,"54_3","d","POBA",0,0
"DALTON",3,"54_3","d","POTR",2,100
"DALTON",3,"54_3","d","SALIX",83,4150
"DALTON",3,"55_3","c","PIGL",0,0
"DALTON",3,"55_3","c","PIME",2,100
"DALTON",3,"55_3","d","ALCR",13,650
"DALTON",3,"55_3","d","ARCTO",0,0
"DALTON",3,"55_3","d","BENE",473,23650
"DALTON",3,"55_3","d","POBA",0,0
"DALTON",3,"55_3","d","POTR",4,200
"DALTON",3,"55_3","d","SALIX",123,6150
"DALTON",3,"7_3","c","PIGL",0,0
"DALTON",3,"7_3","c","PIME",100,5000
"DALTON",3,"7_3","d","ALCR",111,5550
"DALTON",3,"7_3","d","ARCTO",0,0
"DALTON",3,"7_3","d","BENE",644,32200
"DALTON",3,"7_3","d","POBA",0,0
"DALTON",3,"7_3","d","POTR",0,0
"DALTON",3,"7_3","d","SALIX",396,19800
"STEESE",0,"1_0","c","PIGL",0,0
"STEESE",0,"1_0","c","PIME",570,28500
"STEESE",0,"1_0","d","ALCR",0,0
"STEESE",0,"1_0","d","ARCTO",0,0
"STEESE",0,"1_0","d","BENE",0,0
"STEESE",0,"1_0","d","POBA",0,0
"STEESE",0,"1_0","d","POTR",0,0
"STEESE",0,"1_0","d","SALIX",2,100
"STEESE",0,"31_0","c","PIGL",0,0
"STEESE",0,"31_0","c","PIME",372,18600
"STEESE",0,"31_0","d","ALCR",0,0
"STEESE",0,"31_0","d","ARCTO",0,0
"STEESE",0,"31_0","d","BENE",0,0
"STEESE",0,"31_0","d","POBA",0,0
"STEESE",0,"31_0","d","POTR",0,0
"STEESE",0,"31_0","d","SALIX",22,1100
"STEESE",0,"6_0","c","PIGL",0,0
"STEESE",0,"6_0","c","PIME",662,33100
"STEESE",0,"6_0","d","ALCR",0,0
"STEESE",0,"6_0","d","ARCTO",0,0
"STEESE",0,"6_0","d","BENE",0,0
"STEESE",0,"6_0","d","POBA",0,0
"STEESE",0,"6_0","d","POTR",0,0
"STEESE",0,"6_0","d","SALIX",2,100
"STEESE",0,"9_0","c","PIGL",0,0
"STEESE",0,"9_0","c","PIME",472,23600
"STEESE",0,"9_0","d","ALCR",0,0
"STEESE",0,"9_0","d","ARCTO",0,0
"STEESE",0,"9_0","d","BENE",0,0
"STEESE",0,"9_0","d","POBA",0,0
"STEESE",0,"9_0","d","POTR",0,0
"STEESE",0,"9_0","d","SALIX",2,100
"STEESE",1,"18_1","c","PIGL",0,0
"STEESE",1,"18_1","c","PIME",1840,92000
"STEESE",1,"18_1","d","ALCR",0,0
"STEESE",1,"18_1","d","ARCTO",0,0
"STEESE",1,"18_1","d","BENE",174,8700
"STEESE",1,"18_1","d","POBA",0,0
"STEESE",1,"18_1","d","POTR",362,18100
"STEESE",1,"18_1","d","SALIX",1004,50200
"STEESE",1,"20_1","c","PIGL",0,0
"STEESE",1,"20_1","c","PIME",1140,57000
"STEESE",1,"20_1","d","ALCR",0,0
"STEESE",1,"20_1","d","ARCTO",0,0
"STEESE",1,"20_1","d","BENE",0,0
"STEESE",1,"20_1","d","POBA",0,0
"STEESE",1,"20_1","d","POTR",0,0
"STEESE",1,"20_1","d","SALIX",97,4850
"STEESE",1,"28_1","c","PIGL",0,0
"STEESE",1,"28_1","c","PIME",1880,94000
"STEESE",1,"28_1","d","ALCR",0,0
"STEESE",1,"28_1","d","ARCTO",0,0
"STEESE",1,"28_1","d","BENE",456,22800
"STEESE",1,"28_1","d","POBA",0,0
"STEESE",1,"28_1","d","POTR",180,9000
"STEESE",1,"28_1","d","SALIX",966,48300
"STEESE",1,"29_1","c","PIGL",0,0
"STEESE",1,"29_1","c","PIME",2300,115000
"STEESE",1,"29_1","d","ALCR",0,0
"STEESE",1,"29_1","d","ARCTO",0,0
"STEESE",1,"29_1","d","BENE",271,13550
"STEESE",1,"29_1","d","POBA",0,0
"STEESE",1,"29_1","d","POTR",40,2000
"STEESE",1,"29_1","d","SALIX",1551,77550
"STEESE",1,"33_1","c","PIGL",0,0
"STEESE",1,"33_1","c","PIME",3730,186500
"STEESE",1,"33_1","d","ALCR",10,500
"STEESE",1,"33_1","d","ARCTO",0,0
"STEESE",1,"33_1","d","BENE",122,6100
"STEESE",1,"33_1","d","POBA",0,0
"STEESE",1,"33_1","d","POTR",0,0
"STEESE",1,"33_1","d","SALIX",844,42200
"STEESE",1,"36_1","c","PIGL",0,0
"STEESE",1,"36_1","c","PIME",900,45000
"STEESE",1,"36_1","d","ALCR",0,0
"STEESE",1,"36_1","d","ARCTO",0,0
"STEESE",1,"36_1","d","BENE",0,0
"STEESE",1,"36_1","d","POBA",0,0
"STEESE",1,"36_1","d","POTR",0,0
"STEESE",1,"36_1","d","SALIX",560,28000
"STEESE",1,"5_1","c","PIGL",0,0
"STEESE",1,"5_1","c","PIME",1620,81000
"STEESE",1,"5_1","d","ALCR",133,6650
"STEESE",1,"5_1","d","ARCTO",6,300
"STEESE",1,"5_1","d","BENE",149,7450
"STEESE",1,"5_1","d","POBA",0,0
"STEESE",1,"5_1","d","POTR",80,4000
"STEESE",1,"5_1","d","SALIX",2500,125000
"STEESE",2,"19_2","c","PIGL",0,0
"STEESE",2,"19_2","c","PIME",1880,94000
"STEESE",2,"19_2","d","ALCR",0,0
"STEESE",2,"19_2","d","ARCTO",0,0
"STEESE",2,"19_2","d","BENE",164,8200
"STEESE",2,"19_2","d","POBA",0,0
"STEESE",2,"19_2","d","POTR",144,7200
"STEESE",2,"19_2","d","SALIX",1906,95300
"STEESE",2,"26_2","c","PIGL",0,0
"STEESE",2,"26_2","c","PIME",2481,124050
"STEESE",2,"26_2","d","ALCR",116,5800
"STEESE",2,"26_2","d","ARCTO",141,7050
"STEESE",2,"26_2","d","BENE",197,9850
"STEESE",2,"26_2","d","POBA",0,0
"STEESE",2,"26_2","d","POTR",581,29050
"STEESE",2,"26_2","d","SALIX",4810,240500
"STEESE",2,"27_2","c","PIGL",0,0
"STEESE",2,"27_2","c","PIME",720,36000
"STEESE",2,"27_2","d","ALCR",0,0
"STEESE",2,"27_2","d","ARCTO",0,0
"STEESE",2,"27_2","d","BENE",177,8850
"STEESE",2,"27_2","d","POBA",0,0
"STEESE",2,"27_2","d","POTR",101,5050
"STEESE",2,"27_2","d","SALIX",2564,128200
"STEESE",2,"3_2","c","PIGL",0,0
"STEESE",2,"3_2","c","PIME",2362,118100
"STEESE",2,"3_2","d","ALCR",0,0
"STEESE",2,"3_2","d","ARCTO",210,10500
"STEESE",2,"3_2","d","BENE",313,15650
"STEESE",2,"3_2","d","POBA",0,0
"STEESE",2,"3_2","d","POTR",283,14150
"STEESE",2,"3_2","d","SALIX",2700,135000
"STEESE",2,"34_2","c","PIGL",0,0
"STEESE",2,"34_2","c","PIME",4160,208000
"STEESE",2,"34_2","d","ALCR",40,2000
"STEESE",2,"34_2","d","ARCTO",0,0
"STEESE",2,"34_2","d","BENE",195,9750
"STEESE",2,"34_2","d","POBA",0,0
"STEESE",2,"34_2","d","POTR",923,46150
"STEESE",2,"34_2","d","SALIX",3877,193850
"STEESE",2,"4_2","c","PIGL",0,0
"STEESE",2,"4_2","c","PIME",840,42000
"STEESE",2,"4_2","d","ALCR",0,0
"STEESE",2,"4_2","d","ARCTO",0,0
"STEESE",2,"4_2","d","BENE",214,10700
"STEESE",2,"4_2","d","POBA",0,0
"STEESE",2,"4_2","d","POTR",420,21000
"STEESE",2,"4_2","d","SALIX",2880,144000
"STEESE",3,"17_3","c","PIGL",0,0
"STEESE",3,"17_3","c","PIME",62,3100
"STEESE",3,"17_3","d","ALCR",60,3000
"STEESE",3,"17_3","d","ARCTO",66,3300
"STEESE",3,"17_3","d","BENE",2,100
"STEESE",3,"17_3","d","POBA",0,0
"STEESE",3,"17_3","d","POTR",534,26700
"STEESE",3,"17_3","d","SALIX",4643,232150
"STEESE",3,"2_3","c","PIGL",0,0
"STEESE",3,"2_3","c","PIME",40,2000
"STEESE",3,"2_3","d","ALCR",0,0
"STEESE",3,"2_3","d","ARCTO",8,400
"STEESE",3,"2_3","d","BENE",91,4550
"STEESE",3,"2_3","d","POBA",0,0
"STEESE",3,"2_3","d","POTR",421,21050
"STEESE",3,"2_3","d","SALIX",313,15650
"STEESE",3,"22_3","c","PIGL",0,0
"STEESE",3,"22_3","c","PIME",81,4050
"STEESE",3,"22_3","d","ALCR",0,0
"STEESE",3,"22_3","d","ARCTO",10,500
"STEESE",3,"22_3","d","BENE",269,13450
"STEESE",3,"22_3","d","POBA",0,0
"STEESE",3,"22_3","d","POTR",645,32250
"STEESE",3,"22_3","d","SALIX",2165,108250
"STEESE",3,"23_3","c","PIGL",0,0
"STEESE",3,"23_3","c","PIME",80,4000
"STEESE",3,"23_3","d","ALCR",0,0
"STEESE",3,"23_3","d","ARCTO",1,50
"STEESE",3,"23_3","d","BENE",239,11950
"STEESE",3,"23_3","d","POBA",0,0
"STEESE",3,"23_3","d","POTR",235,11750
"STEESE",3,"23_3","d","SALIX",1555,77750
"STEESE",3,"24_3","c","PIGL",0,0
"STEESE",3,"24_3","c","PIME",20,1000
"STEESE",3,"24_3","d","ALCR",0,0
"STEESE",3,"24_3","d","ARCTO",40,2000
"STEESE",3,"24_3","d","BENE",244,12200
"STEESE",3,"24_3","d","POBA",0,0
"STEESE",3,"24_3","d","POTR",660,33000
"STEESE",3,"24_3","d","SALIX",521,26050
"STEESE",3,"25_3","c","PIGL",0,0
"STEESE",3,"25_3","c","PIME",80,4000
"STEESE",3,"25_3","d","ALCR",20,1000
"STEESE",3,"25_3","d","ARCTO",211,10550
"STEESE",3,"25_3","d","BENE",21,1050
"STEESE",3,"25_3","d","POBA",0,0
"STEESE",3,"25_3","d","POTR",604,30200
"STEESE",3,"25_3","d","SALIX",2264,113200
"STEESE",3,"35_3","c","PIGL",0,0
"STEESE",3,"35_3","c","PIME",121,6050
"STEESE",3,"35_3","d","ALCR",2,100
"STEESE",3,"35_3","d","ARCTO",120,6000
"STEESE",3,"35_3","d","BENE",253,12650
"STEESE",3,"35_3","d","POBA",3,150
"STEESE",3,"35_3","d","POTR",9,450
"STEESE",3,"35_3","d","SALIX",354,17700
"STEESE",3,"36_3","c","PIME",2,100
"STEESE",3,"36_3","d","SALIX",24,1200
